ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
72.579167 -69.717278 9.8496665 4.95e-05 0.394 6006.49871 14.622 13.852 13.27 12.835 12.725 0.019 0.022 0.022 AAA 2451903.6555
72.597542 -69.154833 7.2298325 1.93e-05 0.546 6000.08705 15.492 14.545 13.735 13.319 13.232 0.019 0.023 0.023 AAA 2451903.6577
72.615 -69.132389 3.2013176 5.5e-06 0.262 6000.1052 15.774 14.756 13.981 13.488 13.397 0.020 0.024 0.026 AAA 2451903.6578
72.621042 -68.114944 2.1149438 2e-06 0.671 6000.36548 16.329 15.73 15.103 14.959 14.889 0.020 0.025 0.050 AAA 2451903.6619
72.628458 -69.504139 5.0243717 9.1e-06 0.454 6001.75496 15.445 14.735 14.165 13.794 13.751 0.021 0.025 0.028 AAA 2451903.6563
72.636167 -68.213778 3.4413496 4.4e-06 0.563 6001.44031 15.797 15.144 14.46 14.128 14.058 0.020 0.023 0.031 AAA 2451903.6615
72.649917 -68.742 2.7808997 4e-06 0.439 6002.76015 16.476 15.69 14.986 14.674 14.703 0.021 0.026 0.040 AAA 2451903.6594
72.657292 -69.173889 3.2277115 4.6e-06 0.52 6000.63544 16.294 15.491 14.969 14.587 14.465 0.024 0.030 0.043 AAA 2451903.6577
72.674833 -69.031389 12.5108516 7.36e-05 0.398 6011.05209 14.452 13.568 12.995 12.621 12.592 0.019 0.021 0.021 AAA 2451903.6582
72.628458 -69.504139 1.7544103 2.4e-06 0.411 6001.54035 17.009 16.253 14.165 13.794 13.751 0.021 0.025 0.028 AAA 2451903.6563
72.702667 -69.085278 5.7768046 1.54e-05 0.441 6005.19086 15.677 14.774 14.0 13.662 13.629 0.021 0.024 0.027 AAA 2451903.685
72.710708 -69.091194 3.9895888 5.2e-06 0.617 6000.74737 16.288 15.417 15.201 14.875 14.761 0.022 0.026 0.048 AAA 2451903.685
72.710625 -69.256167 3.4122045 5.4e-06 0.48 6002.76481 16.231 15.439 14.969 14.565 14.491 0.022 0.026 0.035 AAA 2451903.6857
72.710708 -69.091194 2.5161247 3.4e-06 0.48 6002.1775 16.669 15.846 15.201 14.875 14.761 0.022 0.026 0.048 AAA 2451903.685
72.710625 -69.256167 15.8633946 0.0001107 0.471 6005.8133 14.739 13.666 14.969 14.565 14.491 0.022 0.026 0.035 AAA 2451903.6857
72.628458 -69.504139 3.0040744 4e-06 0.683 6001.88118 16.161 15.453 14.165 13.794 13.751 0.021 0.025 0.028 AAA 2451903.6563
72.732 -68.894528 2.7567083 2.7e-06 0.514 6001.85287 16.356 15.608 15.032 14.691 14.66 0.031 0.035 0.053 AAA 2451903.6842
72.710625 -69.256167 4.2764188 6e-06 0.488 6002.03301 15.844 15.031 14.969 14.565 14.491 0.022 0.026 0.035 AAA 2451903.6857
72.755833 -69.602194 2.6151686 3.6e-06 0.483 6002.48959 16.511 15.731 15.302 14.893 14.833 0.023 0.026 0.050 AAA 2451903.6871
72.760375 -69.913722 1.0372144 1.3e-06 0.364 6000.36668 17.598 16.892 16.454 16.085 16.01 0.041 0.058 0.140 AAB 2451903.6884
72.790083 -69.13975 5.3792477 1.68e-05 0.355 6001.68591 16.152 15.138 14.307 13.862 13.72 0.021 0.025 0.031 AAA 2451903.6852
72.802833 -68.738 1.6484262 1.6e-06 0.404 6001.02491 17.024 16.318 15.712 15.416 15.375 0.032 0.038 0.074 AAA 2451903.6836
72.814917 -69.088111 5.9198864 1.37e-05 0.568 6002.58829 15.684 14.765 14.128 13.682 13.547 0.019 0.023 0.024 AAA 2451903.685
72.824833 -69.762417 3.3540102 8.9e-06 0.658 6002.70736 16.034 15.327 14.966 14.663 14.589 0.024 0.027 0.048 AAA 2451903.6877
72.851583 -68.612806 2.6181371 2.7e-06 0.481 6001.65223 16.4 15.679 15.221 14.883 14.808 0.025 0.032 0.047 AAA 2451903.6831
72.858042 -69.553222 2.0349701 2.3e-06 0.618 6001.90819 16.604 15.928 15.272 15.002 14.989 0.026 0.032 0.069 AAA 2451903.6869
72.865667 -69.489444 4.2997888 1.65e-05 0.509 6003.0891 15.949 15.134 14.598 14.18 14.046 0.021 0.023 0.029 AAA 2451903.6866
72.882375 -68.225806 2.5705997 3.9e-06 0.401 6000.33968 16.45 15.689 15.035 14.739 14.608 0.022 0.027 0.042 AAA 2451903.6816
72.927333 -69.6085 2.6424119 2.18e-05 0.406 6000.42942 -99.99 15.895 15.327 14.937 14.96 0.022 0.026 0.060 AAA 2451903.6871
73.08275 -69.091417 3.1227846 5.9e-06 0.286 6001.7067 16.193 15.451 14.736 14.377 14.312 0.021 0.025 0.033 AAA 2451903.7164
72.851583 -68.612806 4.7872336 2.2e-05 0.168 6001.98469 15.773 14.898 15.221 14.883 14.808 0.025 0.032 0.047 AAA 2451903.6831
73.02325 -69.390806 2.0977485 1.7e-06 0.653 6000.23207 16.431 15.792 14.674 14.37 14.312 0.021 0.023 0.033 AAA 2451903.7152
73.055583 -68.856583 12.326506 8.05e-05 0.548 6008.9594 14.854 13.914 14.968 14.747 14.696 0.022 0.029 0.048 AAA 2451903.7174
73.00325 -67.663611 1.6504667 7e-07 0.71 6001.41458 16.873 16.297 15.679 15.412 15.348 0.029 0.036 0.082 AAA 2451903.7222
73.016792 -68.42175 2.4240208 7.9e-06 0.191 6001.0233 16.578 15.85 15.377 15.028 14.993 0.025 0.032 0.062 AAA 2451903.7191
73.225833 -69.276417 2.5452257 6e-06 0.34 6001.2495 16.817 15.987 14.153 13.772 13.746 0.020 0.023 0.029 AAA 2451903.7157
73.02325 -69.390806 3.3986626 3.6e-06 0.592 6001.88374 16.08 15.351 14.674 14.37 14.312 0.021 0.023 0.033 AAA 2451903.7152
73.13325 -69.739 3.0408565 3.4e-06 0.627 6000.63898 16.494 15.708 14.314 13.901 13.866 0.020 0.024 0.031 AAA 2451903.7138
